filename,left_x,left_y,right_x,right_y
frame_0_00_13_584104.jpg,174,298,308,301
frame_0_00_13_617480.jpg,174,299,308,301
frame_0_00_13_650856.jpg,174,298,309,300
frame_0_00_13_684233.jpg,174,298,309,301
frame_0_00_13_717609.jpg,174,298,309,301
frame_0_00_13_750985.jpg,174,298,308,301
frame_0_00_13_784361.jpg,174,298,309,301
frame_0_00_13_817737.jpg,174,298,309,301
frame_0_00_13_851113.jpg,174,298,309,301
frame_0_00_13_884490.jpg,174,298,309,301
frame_0_00_13_917866.jpg,174,298,309,301
frame_0_00_13_951242.jpg,174,298,309,301
frame_0_00_13_984618.jpg,174,298,309,301
frame_0_00_14_017994.jpg,174,298,309,300
frame_0_00_14_051371.jpg,174,298,308,301
frame_0_00_14_084747.jpg,174,298,308,301
frame_0_00_14_118123.jpg,174,298,309,301
frame_0_00_14_151499.jpg,174,298,308,301
frame_0_00_14_184875.jpg,174,298,309,301
frame_0_00_14_218251.jpg,174,298,309,301
frame_0_00_14_251628.jpg,174,298,308,301
frame_0_00_14_285004.jpg,174,298,309,301
frame_0_00_14_318380.jpg,174,298,308,301
frame_0_00_14_351756.jpg,174,298,308,301
frame_0_00_14_385132.jpg,174,298,309,300
frame_0_00_14_418508.jpg,174,298,309,300
frame_0_00_14_451885.jpg,174,298,309,301
frame_0_00_14_485261.jpg,174,298,309,301
frame_0_00_14_518637.jpg,174,298,309,301
frame_0_00_14_552013.jpg,174,298,309,301
frame_0_00_14_585389.jpg,174,299,309,301
frame_0_00_14_618766.jpg,174,302,308,304
frame_0_00_14_652142.jpg,175,305,309,307
frame_0_00_14_685518.jpg,176,306,310,309
frame_0_00_14_718894.jpg,176,306,310,310
frame_0_00_14_752270.jpg,176,306,311,310
frame_0_00_14_785646.jpg,176,307,310,309
frame_0_00_14_819023.jpg,176,307,310,309
frame_0_00_14_852399.jpg,176,307,310,309
frame_0_00_14_885775.jpg,176,307,310,309
frame_0_00_14_919151.jpg,176,307,310,309
frame_0_00_14_952527.jpg,176,307,310,310
frame_0_00_14_985904.jpg,176,307,310,310
frame_0_00_15_019280.jpg,176,307,310,310
frame_0_00_15_052656.jpg,176,307,310,310
frame_0_00_15_086032.jpg,176,307,310,310
frame_0_00_15_119408.jpg,176,307,311,310
frame_0_00_15_152784.jpg,176,307,310,310
frame_0_00_15_186161.jpg,176,307,311,310
frame_0_00_15_219537.jpg,176,307,311,310
frame_0_00_15_252913.jpg,176,307,311,310
frame_0_00_15_286289.jpg,176,307,311,310
frame_0_00_15_319665.jpg,176,307,311,310
frame_0_00_15_353041.jpg,176,307,311,310
frame_0_00_15_386418.jpg,176,307,311,310
frame_0_00_15_419794.jpg,176,307,310,310
frame_0_00_15_453170.jpg,176,307,311,311
frame_0_00_15_486546.jpg,176,307,311,311
frame_0_00_15_519922.jpg,176,307,311,311
frame_0_00_15_553299.jpg,176,307,311,311
frame_0_00_15_586675.jpg,176,308,310,311
frame_0_00_15_620051.jpg,176,308,310,311
frame_0_00_15_653427.jpg,176,307,310,311
frame_0_00_15_686803.jpg,176,307,310,311
frame_0_00_15_720179.jpg,176,307,310,311
frame_0_00_15_753556.jpg,176,307,311,311
frame_0_00_15_786932.jpg,176,307,311,310
frame_0_00_15_820308.jpg,176,308,310,310
frame_0_00_15_853684.jpg,176,307,310,310
frame_0_00_15_887060.jpg,176,307,311,311
frame_0_00_15_920437.jpg,177,307,310,311
frame_0_00_15_953813.jpg,176,307,310,311
frame_0_00_15_987189.jpg,176,307,311,311
frame_0_00_16_020565.jpg,176,308,310,311
frame_0_00_16_053941.jpg,176,308,310,311
frame_0_00_16_087317.jpg,176,308,310,311
frame_0_00_16_120694.jpg,176,308,311,311
frame_0_00_16_154070.jpg,177,308,311,311
frame_0_00_16_187446.jpg,176,308,311,311
frame_0_00_16_220822.jpg,177,308,310,311
frame_0_00_16_254198.jpg,177,308,311,311
frame_0_00_16_287574.jpg,176,308,310,311
frame_0_00_16_320951.jpg,176,308,311,311
frame_0_00_16_354327.jpg,176,308,311,310
frame_0_00_16_387703.jpg,176,308,311,310
frame_0_00_16_421079.jpg,176,308,310,311
frame_0_00_16_454455.jpg,176,308,311,311
frame_0_00_16_487832.jpg,176,308,311,311
frame_0_00_16_521208.jpg,176,308,311,310
frame_0_00_16_554584.jpg,176,308,311,310
frame_0_00_16_587960.jpg,176,308,311,310
frame_0_00_16_621336.jpg,176,308,311,310
frame_0_00_16_654712.jpg,176,308,311,310
frame_0_00_16_688089.jpg,176,308,311,311
frame_0_00_16_721465.jpg,176,308,311,310
frame_0_00_16_754841.jpg,176,308,311,310
frame_0_00_16_788217.jpg,176,308,311,310
frame_0_00_16_821593.jpg,176,308,311,310
frame_0_00_16_854970.jpg,176,308,311,310
frame_0_00_16_888346.jpg,176,308,311,310
frame_0_00_16_921722.jpg,176,308,311,310
frame_0_00_16_955098.jpg,177,307,312,309
frame_0_00_16_988474.jpg,181,303,316,307
